index,index,Input1_Input2,PdCatalyst,Additive,Ligand,Product,Output,PdCatalyst_Additive,PdCatalyst_Ligand,Time_h,mw_ligand,mw_catligand,splitting
0,0,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CC(P(C1=CC=CC=C1C2=CC=CC=C2)C(C)(C)C)(C)C,Fc2ccc(c1ccccc1)cc2,85,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CC(P(C1=CC=CC=C1C2=CC=CC=C2)C(C)(C)C)(C)C,3.0,298.41,681.402,train
1,1,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,Fc2ccc(c1ccccc1)cc2,34,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,3.0,476.729,859.721,train
2,2,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CCP(CC)C1=CC=CC=C1,Fc2ccc(c1ccccc1)cc2,6,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CCP(CC)C1=CC=CC=C1,3.0,166.204,549.196,train
3,3,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CC1=C(P(C(C)(C)C)C(C)(C)C)C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)=C(C)C(C)=C1C,Fc2ccc(c1ccccc1)cc2,14,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CC1=C(P(C(C)(C)C)C(C)(C)C)C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)=C(C)C(C)=C1C,3.0,480.761,863.753,train
4,4,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,Fc2ccc(c1ccccc1)cc2,51,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,3.0,280.436,663.428,train
5,5,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CC(P(C1=CC=CC=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(C)(C)C)(C)C,Fc2ccc(c1ccccc1)cc2,13,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CC(P(C1=CC=CC=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(C)(C)C)(C)C,3.0,424.653,807.645,train
6,6,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,C1(CCCCC1)P(C2CCCCC2)CCP(C3CCCCC3)C4CCCCC4,Fc2ccc(c1ccccc1)cc2,21,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.C1(CCCCC1)P(C2CCCCC2)CCP(C3CCCCC3)C4CCCCC4,3.0,422.618,805.61,train
7,7,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,Fc2ccc(c1ccccc1)cc2,0,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.C1(P(C2=CC=CO2)C3=CC=CO3)=CC=CO1,3.0,232.175,615.167,test
9,9,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CC(OC1=CC=CC(OC(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,Fc2ccc(c1ccccc1)cc2,19,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CC(OC1=CC=CC(OC(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C,3.0,466.646,849.638,train
10,10,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,Fc2ccc(c1ccccc1)cc2,19,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,3.0,393.555,776.547,train
11,11,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[As](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,Fc2ccc(c1ccccc1)cc2,23,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.[As](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,3.0,306.24,689.232,train
12,12,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,Fc2ccc(c1ccccc1)cc2,0,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3,3.0,316.262,699.254,train
13,13,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,Fc2ccc(c1ccccc1)cc2,9,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.P(C1=CC=CC=C1)(C2=CC=CC=C2)CCCP(C3=CC=CC=C3)C4=CC=CC=C4,3.0,412.453,795.445,train
14,14,Fc1ccc(Br)cc1.[B-](C1=CC=CC=C1)(F)(F)F.[K+],[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4,O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,CN(C1=CC=C(P(C2CCCCC2)C3CCCCC3)C=C1)C,Fc2ccc(c1ccccc1)cc2,19,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.O=S(=O)(O)C(F)(F)F.C[N+]1(C)CC[N+](C)(C)[Zn@]12O[Zn@]4(O[Zn@@]3(O2)[N+](C)(C)CC[N+]3(C)C)[N+](C)(C)CC[N+]4(C)C,[CH-]([Si](C)(C)C)[Pd+2]([CH-][Si](C)(C)C)123C4=C1CCC2=C3CC4.CN(C1=CC=C(P(C2CCCCC2)C3CCCCC3)C=C1)C,3.0,317.457,700.449,train
